call_id,caller_msisdn,receiver_msisdn,call_timestamp,call_duration_sec,call_type,cell_tower_id,imei
CDR1001,9810123456,9871234567,2026-02-10 14:15:00,1240,INCOMING,GBN-TWR-884,864501041234567
CDR1002,9871234567,9899187654,2026-02-10 14:38:00,180,OUTGOING,GBN-TWR-884,864501041234567
CDR1003,9871234567,9911223344,2026-02-10 14:45:00,240,OUTGOING,GBN-TWR-884,864501041234567
CDR1004,9911223344,9876500001,2026-02-10 15:02:00,90,OUTGOING,GBN-TWR-912,860000112233445
CDR1005,9911223344,9876500002,2026-02-10 15:10:00,110,OUTGOING,GBN-TWR-912,860000112233445
CDR1006,9911223344,9876500003,2026-02-10 15:18:00,85,OUTGOING,GBN-TWR-912,860000112233445
CDR1007,9871234568,9911223344,2026-02-10 15:30:00,310,OUTGOING,GBN-TWR-884,864501041234568
CDR1008,9871234567,9810123456,2026-02-11 10:05:00,890,OUTGOING,GBN-TWR-884,864501041234567
CDR1009,9871234568,9810123456,2026-02-11 11:30:00,450,OUTGOING,GBN-TWR-884,864501041234568
CDR1010,9871234567,9911223344,2026-02-11 12:00:00,195,OUTGOING,GBN-TWR-884,864501041234567
CDR1011,9911223344,9876500001,2026-02-11 12:15:00,65,OUTGOING,GBN-TWR-912,860000112233445
CDR1012,9871234567,9899187654,2026-02-11 14:00:00,120,OUTGOING,GBN-TWR-884,864501041234567
CDR1013,9899187654,9911223344,2026-02-11 14:45:00,310,OUTGOING,GBN-TWR-884,869911223344556
CDR1014,9911223344,9876500004,2026-02-11 15:10:00,140,OUTGOING,GBN-TWR-912,860000112233445
CDR1015,9871234567,9876500099,2026-02-12 09:15:00,45,OUTGOING,GBN-TWR-884,864501041234567
